"Ticker","Name","Sector","Asset Class","Market Value","Weight (%)","Notional Value","Quantity","Price","Location","Exchange","Currency","FX Rate","Accrual Date"
"NEM","NEWMONT","Materials","Equity","9901003.58","0.12298","9901003.58","99298","99.71","United States","NYSE","USD","1","--"
"BNP","BNP PARIBAS SA","Financials","Equity","9801391.17","0.12174","9801391.17","90544","108.25","France","Nyse Euronext - Euronext Paris","USD","0.86513","--"
"EQIX","EQUINIX REIT INC","Real Estate","Equity","9736116.65","0.12093","9736116.65","9007","1080.95","United States","NASDAQ","USD","1","--"
"SYK","STRYKER CORP","Health Care","Equity","9595890.04","0.11919","9595890.04","31394","305.66","United States","NYSE","USD","1","--"
"GSK","GLAXOSMITHKLINE","Health Care","Equity","9593449.71","0.11916","9593449.71","369789","25.94","United Kingdom","London Stock Exchange","USD","0.74702","--"
"MDT","MEDTRONIC PLC","Health Care","Equity","9564210.36","0.11879","9564210.36","117108","81.67","United States","NYSE","USD","1","--"
"PWR","QUANTA SERVICES INC","Industrials","Equity","9527177.66","0.11833","9527177.66","13706","695.11","United States","NYSE","USD","1","--"
"SO","SOUTHERN","Utilities","Equity","9514464.8","0.11817","9514464.8","102748","92.6","United States","NYSE","USD","1","--"
"CDNS","CADENCE DESIGN SYSTEMS INC","Information Technology","Equity","9476978.48","0.11771","9476978.48","25192","376.19","United States","NASDAQ","USD","1","--"
"ADBE","ADOBE INC","Information Technology","Equity","9433023.04","0.11716","9433023.04","37516","251.44","United States","NASDAQ","USD","1","--"
"OR","LOREAL SA","Consumer Staples","Equity","9404354.43","0.11681","9404354.43","21667","434.04","France","Nyse Euronext - Euronext Paris","USD","0.86513","--"
"TT","TRANE TECHNOLOGIES PLC","Industrials","Equity","9262887.84","0.11505","9262887.84","20276","456.84","United States","NYSE","USD","1","--"
"ZURN","ZURICH INSURANCE GROUP AG","Financials","Equity","9229697.66","0.11464","9229697.66","13322","692.82","Switzerland","SIX Swiss Exchange","USD","0.79415","--"
"HWM","HOWMET AEROSPACE INC","Industrials","Equity","9219288.1","0.11451","9219288.1","36599","251.9","United States","NYSE","USD","1","--"
"CM","CANADIAN IMPERIAL BANK OF COMMERCE","Financials","Equity","9175163.17","0.11396","9175163.17","84082","109.12","Canada","Toronto Stock Exchange","USD","1.39175","--"
"D05","DBS GROUP HOLDINGS LTD","Financials","Equity","9099411.95","0.11302","9099411.95","183900","49.48","Singapore","Singapore Exchange","USD","1.289","Jan 01, 1998"
"1299","AIA GROUP LTD","Financials","Equity","9006732.74","0.11187","9006732.74","953600","9.44","Hong Kong","Hong Kong Exchanges And Clearing Ltd","USD","7.83485","--"
"BNS","BANK OF NOVA SCOTIA","Financials","Equity","8990899.06","0.11167","8990899.06","111366","80.73","Canada","Toronto Stock Exchange","USD","1.39175","--"
"XTSLA","BLK CSH FND TREASURY SL AGENCY","Cash and/or Derivatives","Money Market","8976940.27","0.1115","8976940.27","8976940","1","United States","--","USD","1","--"
"6981","MURATA MANUFACTURING LTD","Information Technology","Equity","8953046.52","0.1112","8953046.52","148000","60.49","Japan","Tokyo Stock Exchange","USD","160.265","--"
"BNY","BANK OF NEW YORK MELLON CORP","Financials","Equity","8918597.65","0.11077","8918597.65","62635","142.39","United States","NYSE","USD","1","--"
"SAN","SANOFI SA","Health Care","Equity","8908244.58","0.11064","8908244.58","98868","90.1","France","Nyse Euronext - Euronext Paris","USD","0.86513","--"
"DUK","DUKE ENERGY CORP","Utilities","Equity","8823222.38","0.10959","8823222.38","71029","124.22","United States","NYSE","USD","1","--"
"CNQ","CANADIAN NATURAL RESOURCES LTD","Energy","Equity","8704070.36","0.10811","8704070.36","189992","45.81","Canada","Toronto Stock Exchange","USD","1.39175","--"
"MCK","MCKESSON CORP","Health Care","Equity","8646282.02","0.10739","8646282.02","11147","775.66","United States","NYSE","USD","1","--"
"CME","CME GROUP INC CLASS A","Financials","Equity","8523801","0.10587","8523801","33115","257.4","United States","NASDAQ","USD","1","--"
"ADP","AUTOMATIC DATA PROCESSING INC","Industrials","Equity","8519523.5","0.10582","8519523.5","36730","231.95","United States","NASDAQ","USD","1","--"
"9983","FAST RETAILING LTD","Consumer Discretionary","Equity","8446260.88","0.10491","8446260.88","17200","491.06","Japan","Tokyo Stock Exchange","USD","160.265","--"
"8058","MITSUBISHI CORP","Industrials","Equity","8398234.17","0.10431","8398234.17","277000","30.32","Japan","Tokyo Stock Exchange","USD","160.265","--"
"ELV","ELEVANCE HEALTH INC","Health Care","Equity","8367527.61","0.10393","8367527.61","20137","415.53","United States","NYSE","USD","1","--"
"PNC","PNC FINANCIAL SERVICES GROUP INC","Financials","Equity","8324771.61","0.1034","8324771.61","36453","228.37","United States","NYSE","USD","1","--"
"FTNT","FORTINET INC","Information Technology","Equity","8317074.48","0.1033","8317074.48","57486","144.68","United States","NASDAQ","USD","1","--"
"FCX","FREEPORT MCMORAN INC","Materials","Equity","8308947.66","0.1032","8308947.66","131118","63.37","United States","NYSE","USD","1","--"
"BN","BROOKFIELD CORP CLASS A","Financials","Equity","8303163.1","0.10313","8303163.1","185966","44.65","Canada","Toronto Stock Exchange","USD","1.39175","--"
"6861","KEYENCE CORP","Information Technology","Equity","8281221.73","0.10286","8281221.73","17000","487.13","Japan","Tokyo Stock Exchange","USD","160.265","--"
"AMT","AMERICAN TOWER REIT CORP","Real Estate","Equity","8233599.8","0.10227","8233599.8","42415","194.12","United States","NYSE","USD","1","--"
